,Sampen_Delta,Sampen_Beta,Sampen_Theta,Sampen_Gamma,Sampen_Alpha,BIS
112,0.6873077479083861,2.246459432270381,1.7244658334940635,2.0412021140892804,2.1223665863968697,97.4
113,0.6539264674066639,2.158197082230105,1.5601825237854703,2.0945347786883173,2.229117941112173,97.4
114,0.6654956492294354,2.1577599623497274,1.7079895861625962,2.1021299630190367,2.3255746112187445,97.4
115,0.6575351087710684,2.1453878828489925,1.776645831418007,2.103381749225844,2.158797200202334,97.3
116,0.7845493439670647,2.1492114069628236,1.7441705064042572,2.0561555172839894,2.33380011234197,97.3
117,0.8250925300288332,2.117570838511183,1.684339220607218,2.180781890510752,2.0439842298431063,97.3
118,0.8058268175465042,2.160289624214106,1.6077972229766404,2.1298529100424584,1.9367104521568899,97.3
119,0.8039950057040863,2.10632558279787,1.571410516844861,2.1242680466196795,1.9459101490553135,97.3
120,0.6840424135670262,2.0733747889975986,1.491319249991549,2.1323477079183717,2.072955032450229,97.3
121,0.6894310856109305,2.1424565527580315,1.546259010812569,2.0488519153789393,2.059074238855402,96.8
122,0.7230001437096265,2.1364460889218213,1.5715876883030027,2.1628534073472294,2.022951353725093,94.1
123,0.7187567747642697,2.1189764011431103,1.679086306723942,2.1182025903800685,1.9003614788100522,93.6
124,0.6334931327818493,2.115480330657509,1.7183320006732379,2.1324588092939094,1.9017146762641917,95.2
125,0.6682496289382183,2.108652493121368,1.6944031723960324,2.172840040534928,2.096535975039136,95.6
126,0.7767122589059875,2.1728623752995486,1.6385745065207558,2.2432972157127837,2.142164800153192,96.1
127,0.9824619064356115,2.138146836528712,1.6945957207744071,2.142385453287362,1.9978428977969565,95.5
128,0.9823637016786144,2.084438809681946,1.581229191799591,2.1358280527412026,2.050809729005509,96.6
129,0.8858097286374377,2.13705788847754,1.8298593154603255,2.1296654534065964,1.8401716330149858,97.1
130,0.9254669382928284,2.1393709070134403,1.796510071986653,2.160533842732332,2.032921526044943,97.0
131,0.979581592213571,2.121387228945178,1.8575108467908354,2.0770839767371814,2.077284043539815,97.1
132,0.781953518335267,2.1938241032250962,1.8073074856165399,2.157044500030689,1.9740810260220096,96.8
133,0.7500487560782046,2.1521937136795195,1.5963086209923076,2.1297235988667462,2.169053700369523,97.0
134,0.7904104859851522,2.129266367090044,1.6064705512062982,2.14715591309918,2.0273851797237827,96.9
135,0.7336151301127919,2.1845119920709437,1.6399534563600509,2.1067970631119524,2.2321626286974996,97.0
136,0.6621940830829324,2.121319084523457,1.692753945452606,2.240867867068126,2.0395956331326364,97.0
137,0.6147164351042194,2.1069964833986625,1.7416753648306436,2.22973455127578,2.0289453776653037,97.1
